Fecha,Dia,Hora,Grados Celsius,Grados Fahrenheit,Condicion
02 Aug 2023,Wednesday,17:53,35,94,Mayormente nublado
02 Aug 2023,Wednesday,18:05,34,93,Mayormente nublado
03 Aug 2023,Thursday,08:04,27,79,Mayormente nublado
03 Aug 2023,Thursday,08:57,27,80,Mayormente nublado
03 Aug 2023,Thursday,10:06,30,85,Mayormente nublado
03 Aug 2023,Thursday,11:06,29,84,Mayormente nublado
03 Aug 2023,Thursday,12:03,33,91,Parcialmente nublado
03 Aug 2023,Thursday,13:03,32,88,Mayormente nublado
03 Aug 2023,Thursday,14:01,33,91,Mayormente soleado
03 Aug 2023,Thursday,16:17,36,96,Mayormente soleado
04 Aug 2023,Friday,08:18,27,80,Neblina
04 Aug 2023,Friday,09:06,31,87,Soleado
04 Aug 2023,Friday,09:41,32,88,Soleado
04 Aug 2023,Friday,10:05,34,92,Soleado
04 Aug 2023,Friday,11:05,34,93,Soleado
04 Aug 2023,Friday,12:11,36,96,Mayormente soleado
04 Aug 2023,Friday,13:01,37,98,Soleado
04 Aug 2023,Friday,14:04,38,99,Mayormente soleado
04 Aug 2023,Friday,15:32,38,100,Mayormente soleado
04 Aug 2023,Friday,16:01,39,101,Mayormente soleado
07 Aug 2023,Monday,07:21,30,85,Parcialmente nublado
07 Aug 2023,Monday,08:08,31,87,Soleado
07 Aug 2023,Monday,09:01,32,88,Soleado
07 Aug 2023,Monday,10:04,33,90,Soleado
07 Aug 2023,Monday,11:02,36,96,Soleado
07 Aug 2023,Monday,12:36,39,101,Mayormente soleado
07 Aug 2023,Monday,13:02,39,101,Mayormente soleado
07 Aug 2023,Monday,14:22,39,102,Soleado
07 Aug 2023,Monday,15:03,39,102,Mayormente soleado
07 Aug 2023,Monday,16:34,40,104,Soleado
08 Aug 2023,Tuesday,08:08,28,82,Parcialmente nublado
08 Aug 2023,Tuesday,09:59,29,83,Mayormente nublado
08 Aug 2023,Tuesday,11:00,30,85,Mayormente nublado
08 Aug 2023,Tuesday,12:01,33,90,Mayormente nublado
08 Aug 2023,Tuesday,13:01,33,90,Mayormente nublado
08 Aug 2023,Tuesday,14:00,34,92,Mayormente nublado
08 Aug 2023,Tuesday,15:00,34,93,Parcialmente nublado
08 Aug 2023,Tuesday,16:08,38,99,Mayormente soleado
09 Aug 2023,Wednesday,08:36,27,79,Soleado
09 Aug 2023,Wednesday,09:01,28,81,Mayormente soleado
09 Aug 2023,Wednesday,10:02,28,82,Mayormente soleado
09 Aug 2023,Wednesday,11:01,31,87,Soleado
09 Aug 2023,Wednesday,12:01,33,90,Soleado
09 Aug 2023,Wednesday,13:09,34,92,Soleado
09 Aug 2023,Wednesday,14:06,35,95,Soleado
09 Aug 2023,Wednesday,15:03,37,97,Soleado
09 Aug 2023,Wednesday,16:01,37,98,Mayormente soleado
10 Aug 2023,Thursday,10:54,31,87,Parcialmente nublado
10 Aug 2023,Thursday,11:15,31,87,Parcialmente nublado
10 Aug 2023,Thursday,12:05,32,89,Parcialmente nublado
10 Aug 2023,Thursday,13:10,34,92,Parcialmente nublado
10 Aug 2023,Thursday,14:07,34,93,Mayormente soleado
10 Aug 2023,Thursday,15:11,37,97,Mayormente soleado
10 Aug 2023,Thursday,16:10,37,98,Parcialmente nublado
12 Aug 2023,Saturday,17:17,37,98,Mayormente soleado
